"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
4;259852;259852;259852;259852;259852;259852;259852;
5;264792;264792;264792;264792;264792;264792;264792;
6;271818;271818;271818;271818;271818;271818;271818;
7;276317;276317;276317;276317;276317;276317;276317;
8;279953;279953;279953;279953;279953;279953;279953;
9;278216;278216;278216;278216;278216;278216;278216;
10;278013;278013;278013;278013;278013;278013;278013;
11;275828;275828;275828;275828;275828;275828;275828;
12;279517;279517;279517;279517;279517;279517;279517;
13;276993;276993;276993;276993;276993;276993;276993;
14;275251;275251;275251;275251;275251;275251;275251;
15;277450;277450;277450;277450;277450;277450;277450;
16;281701;281701;281701;281701;281701;281701;281701;
17;277569;277569;277569;277569;277569;277569;277569;
18;277751;277751;277751;277751;277751;277751;277751;
19;278243;278243;278243;278243;278243;278243;278243;
20;279954;279954;279954;279954;279954;279954;279954;
21;280597;280597;280597;280597;280597;280597;280597;
22;285896;285896;285896;285896;285896;285896;285896;
23;294825;294825;294825;294825;294825;294825;294825;
24;308516;308516;308516;308516;308516;308516;308516;
25;309754;309754;309754;309754;309754;309754;309754;
26;316750;316750;316750;316750;316750;316750;316750;
27;318810;318810;318810;318810;318810;318810;318810;
28;327421;327421;327421;327421;327421;327421;327421;
29;322773;322773;322773;322773;322773;322773;322773;
30;325573;325573;325573;325573;325573;325573;325573;
31;337464;337464;337464;337464;337464;337464;337464;
32;343875;343875;343875;343875;343875;343875;343875;
33;350053;350053;350053;350053;350053;350053;350053;
34;363112;363112;363112;363112;363112;363112;363112;
35;366877;366877;366877;366877;366877;366877;366877;
36;374931;374931;374931;374931;374931;374931;374931;
37;388322;388322;388322;388322;388322;388322;388322;
38;408651;408651;408651;408651;408651;408651;408651;
39;422873;422873;422873;422873;422873;422873;422873;
40;441737;441737;441737;441737;441737;441737;441737;
41;462583;462583;462583;462583;462583;462583;462583;
42;481722;481722;481722;481722;481722;481722;481722;
43;479632;479632;479632;479632;479632;479632;479632;
44;484004;484004;484004;484004;484004;484004;484004;
45;490848;490848;490848;490848;490848;490848;490848;
46;486116;486116;486116;486116;486116;486116;486116;
47;500412;500412;500412;500412;500412;500412;500412;
48;497534;497534;497534;497534;497534;497534;497534;
49;500890;500890;500890;500890;500890;500890;500890;
50;503282;503282;503282;503282;503282;503282;503282;
51;502671;502671;502671;502671;502671;502671;502671;
52;509972;509972;509972;509972;509972;509972;509972;
53;481055;481055;481055;481055;481055;481055;481055;
54;466249;466249;466249;466249;466249;466249;466249;
55;457550;457550;457550;457550;457550;457550;457550;
56;443691;443691;443691;443691;443691;443691;443691;
57;433253;433253;433253;433253;433253;433253;433253;
58;415309;415309;415309;415309;415309;415309;415309;
59;411008;411008;411008;411008;411008;411008;411008;
60;402609;402609;402609;402609;402609;402609;402609;
61;395045;395045;395045;395045;395045;395045;395045;
62;389547;389547;389547;389547;389547;389547;389547;
63;370072;370072;370072;370072;370072;370072;370072;
64;364991;364991;364991;364991;364991;364991;364991;
65;363489;363489;363489;363489;363489;363489;363489;
66;375946;375946;375946;375946;375946;375946;375946;
67;377203;377203;377203;377203;377203;377203;377203;
68;393494;393494;393494;393494;393494;393494;393494;
69;383671;383671;383671;383671;383671;383671;383671;
70;383262;383262;383262;383262;383262;383262;383262;
71;295870;295870;295870;295870;295870;295870;295870;
72;303892;303892;303892;303892;303892;303892;303892;
73;306782;306782;306782;306782;306782;306782;306782;
74;303752;303752;303752;303752;303752;303752;303752;
75;304421;304421;304421;304421;304421;304421;304421;
76;332797;332797;332797;332797;332797;332797;332797;
77;324211;324211;324211;324211;324211;324211;324211;
78;312060;312060;312060;312060;312060;312060;312060;
79;285065;285065;285065;285065;285065;285065;285065;
80;264299;264299;264299;264299;264299;264299;264299;
81;263895;263895;263895;263895;263895;263895;263895;
82;249485;249485;249485;249485;249485;249485;249485;
83;234180;234180;234180;234180;234180;234180;234180;
84;218205;218205;218205;218205;218205;218205;218205;
85;207090;207090;207090;207090;207090;207090;207090;
86;202018;202018;202018;202018;202018;202018;202018;
87;171280;171280;171280;171280;171280;171280;171280;
88;154420;154420;154420;154420;154420;154420;154420;
89;136686;136686;136686;136686;136686;136686;136686;
90;116986;116986;116986;116986;116986;116986;116986;
91;98915;98915;98915;98915;98915;98915;98915;
92;81806;81806;81806;81806;81806;81806;81806;
93;67178;67178;67178;67178;67178;67178;67178;
94;52818;52818;52818;52818;52818;52818;52818;
95;40789;40789;40789;40789;40789;40789;40789;
96;30184;30184;30184;30184;30184;30184;30184;
97;14690;14690;14690;14690;14690;14690;14690;
98;7990;7990;7990;7990;7990;7990;7990;
